Actual,Predicted,Top1_Prob,Top1_Class,Top2_Prob,Top2_Class,Top3_Prob,Top3_Class
cat,cat,0.40912184,cat,0.30676576,deer,0.12905543,dog
ship,ship,0.66741157,ship,0.2449575,plane,0.037610337,bird
ship,deer,0.6647065,deer,0.14968325,ship,0.10046992,bird
plane,plane,0.93118054,plane,0.054306976,ship,0.010487657,bird
frog,frog,0.8575453,frog,0.0705597,cat,0.03213558,deer
frog,deer,0.60343796,deer,0.19708507,cat,0.11713349,frog
car,cat,0.7924701,cat,0.07327291,dog,0.0691202,car
frog,deer,0.35905692,deer,0.22926068,cat,0.15071869,plane
cat,cat,0.9228999,cat,0.028803164,frog,0.026750669,deer
car,frog,0.45231676,frog,0.41197562,ship,0.06837091,cat
plane,cat,0.44238535,cat,0.23330685,horse,0.15695883,deer
truck,truck,0.9997539,truck,0.00015242492,ship,4.2735555e-05,car
dog,horse,0.7456568,horse,0.17894094,dog,0.03851789,deer
horse,horse,0.99997354,horse,1.5624264e-05,dog,5.303072e-06,bird
truck,ship,0.9636235,ship,0.016135419,truck,0.014436073,deer
ship,frog,0.4402193,frog,0.3304996,deer,0.106503926,ship
dog,dog,0.94423825,dog,0.029800156,bird,0.023649853,cat
horse,cat,0.35187945,cat,0.31106848,frog,0.14111729,dog
ship,ship,0.9444493,ship,0.027975777,plane,0.011848816,deer
frog,frog,0.85821515,frog,0.12135817,bird,0.01874162,cat
horse,cat,0.9628646,cat,0.016513178,dog,0.0070006573,frog
plane,plane,0.99952126,plane,0.0003299806,bird,7.470912e-05,frog
deer,deer,0.38518903,deer,0.31789157,cat,0.19179793,plane
truck,truck,0.90642,truck,0.047158066,ship,0.032457445,cat
dog,deer,0.683158,deer,0.19014072,cat,0.09589677,dog
bird,deer,0.66561633,deer,0.20598727,cat,0.07204445,ship
deer,deer,0.8793449,deer,0.094115004,cat,0.009943318,dog
plane,deer,0.41054666,deer,0.35101956,cat,0.15816686,plane
truck,deer,0.7933381,deer,0.10512956,ship,0.06423459,cat
frog,frog,0.7207207,frog,0.2587846,deer,0.011097017,bird
frog,cat,0.7192232,cat,0.1260676,frog,0.063620605,deer
dog,cat,0.76750153,cat,0.058446124,dog,0.052304946,plane
deer,deer,0.4571858,deer,0.25283426,ship,0.15853524,frog
dog,dog,0.86260486,dog,0.1270736,cat,0.006248331,horse
truck,ship,0.49622932,ship,0.35631076,cat,0.07499015,deer
bird,ship,0.60302186,ship,0.2402522,frog,0.112734064,cat
deer,deer,0.9828287,deer,0.015341357,horse,0.0011398663,cat
car,car,0.6438346,car,0.2307473,truck,0.051356062,deer
truck,ship,0.8216148,ship,0.16724838,truck,0.006443592,cat
dog,dog,0.53636426,dog,0.44460267,cat,0.0074549513,bird
deer,deer,0.8955864,deer,0.08077121,cat,0.0133528095,plane
frog,frog,0.91154075,frog,0.054874323,cat,0.01872292,dog
dog,horse,0.7813884,horse,0.08543077,cat,0.079106115,dog
frog,frog,0.9776937,frog,0.005229784,cat,0.005146809,ship
plane,plane,0.911202,plane,0.046342622,ship,0.022455065,deer
truck,truck,0.84002525,truck,0.1031504,deer,0.025464073,ship
cat,cat,0.571583,cat,0.19044872,frog,0.18220037,bird
truck,deer,0.67743564,deer,0.27470362,cat,0.02828907,ship
horse,deer,0.97041863,deer,0.014364429,ship,0.006622942,horse
frog,deer,0.3113941,deer,0.3047771,cat,0.15484948,plane
truck,frog,0.34647536,frog,0.27335662,ship,0.18398151,plane
ship,ship,0.63855034,ship,0.34330845,deer,0.0070083058,frog
plane,bird,0.83418727,bird,0.11324786,plane,0.02376587,frog
cat,cat,0.7243789,cat,0.13516024,dog,0.047329463,deer
ship,ship,0.94154644,ship,0.030670246,plane,0.012809891,deer
ship,ship,0.6504453,ship,0.13113855,cat,0.084004305,deer
horse,deer,0.82348275,deer,0.076540805,horse,0.06933294,cat
horse,cat,0.85275614,cat,0.05748532,bird,0.034372807,dog
deer,dog,0.88910127,dog,0.07210236,cat,0.014238071,deer
frog,deer,0.5664765,deer,0.34980246,cat,0.04165219,dog
horse,horse,0.5279724,horse,0.45941636,deer,0.006973401,dog
cat,cat,0.61944884,cat,0.24954112,dog,0.115051635,bird
frog,frog,0.48015696,frog,0.42088187,cat,0.034457974,deer
cat,ship,0.6358011,ship,0.26983312,cat,0.047152497,bird
frog,frog,0.9752514,frog,0.014803129,cat,0.0070710834,deer
bird,bird,0.95880985,bird,0.037073497,cat,0.0027533595,frog
car,deer,0.8500526,deer,0.12298506,ship,0.0150021445,cat
bird,bird,0.97388124,bird,0.009237351,deer,0.00828447,horse
cat,deer,0.7956909,deer,0.086537644,cat,0.058803532,horse
horse,deer,0.9994869,deer,0.00023562327,horse,9.1577785e-05,plane
bird,ship,0.47930607,ship,0.18684885,cat,0.13991688,deer
frog,frog,0.7955518,frog,0.13004301,bird,0.034767352,cat
ship,ship,0.9977348,ship,0.0011836156,deer,0.00038638903,plane
ship,deer,0.5744111,deer,0.20209654,plane,0.116100475,ship
plane,deer,0.7411561,deer,0.14050762,plane,0.08985203,ship
bird,bird,0.4707777,bird,0.21406758,cat,0.20303649,deer
truck,plane,0.91185826,plane,0.051958185,ship,0.016415248,bird
cat,cat,0.89180785,cat,0.057596058,deer,0.020255588,bird
cat,dog,0.5954973,dog,0.18274033,horse,0.11234787,cat
ship,ship,0.99405426,ship,0.0017436472,plane,0.001685928,deer
