Actual,Predicted,Top1_Prob,Top1_Class,Top2_Prob,Top2_Class,Top3_Prob,Top3_Class
cat,cat,0.99120075,cat,0.008620254,dog,0.00010542193,frog
ship,ship,0.9891894,ship,0.010347616,cat,0.00018070199,plane
ship,ship,0.37129962,ship,0.29191464,bird,0.17098561,cat
plane,plane,0.7464985,plane,0.12266536,bird,0.086670056,cat
frog,cat,0.8304412,cat,0.08142499,frog,0.07386565,deer
frog,frog,0.4923533,frog,0.38238212,cat,0.1128933,dog
car,cat,0.7782143,cat,0.12360964,car,0.0912922,dog
frog,frog,0.5355189,frog,0.15712692,deer,0.13255699,cat
cat,cat,0.9822922,cat,0.016483385,dog,0.0004103628,deer
car,cat,0.5125991,cat,0.2862813,frog,0.13378994,ship
plane,cat,0.68306994,cat,0.30020562,dog,0.010513348,deer
truck,truck,0.99671704,truck,0.0029643981,ship,0.00013740193,car
dog,dog,0.9169463,dog,0.07923636,cat,0.0026510195,deer
horse,horse,0.99999225,horse,5.110108e-06,dog,1.4450774e-06,cat
truck,deer,0.8909019,deer,0.04540843,horse,0.03155109,truck
ship,frog,0.4458519,frog,0.31688708,cat,0.18439402,ship
dog,dog,0.99853873,dog,0.0013899775,cat,6.8517904e-05,horse
horse,cat,0.9832244,cat,0.007675828,horse,0.004817131,dog
ship,ship,0.99750453,ship,0.0007186088,plane,0.0006171447,cat
frog,frog,0.9127765,frog,0.049575876,cat,0.035784137,bird
horse,cat,0.86569387,cat,0.10915485,dog,0.010552189,truck
plane,plane,0.99933976,plane,0.00049151236,bird,8.363463e-05,cat
deer,cat,0.7421911,cat,0.19576702,deer,0.026048923,ship
truck,truck,0.9573878,truck,0.039589103,car,0.0016854106,ship
dog,cat,0.95154256,cat,0.04440518,dog,0.003947457,deer
bird,cat,0.51058424,cat,0.20328158,deer,0.19477352,ship
deer,deer,0.5629818,deer,0.32355157,cat,0.108357176,dog
plane,cat,0.87525433,cat,0.06878297,dog,0.0434142,plane
truck,cat,0.35524645,cat,0.32262915,truck,0.22542863,deer
frog,frog,0.65069187,frog,0.19243933,deer,0.109844394,cat
frog,cat,0.44479394,cat,0.35592696,deer,0.09740503,frog
dog,cat,0.5479909,cat,0.38498625,dog,0.046312343,frog
deer,deer,0.55014026,deer,0.24446294,cat,0.15287735,frog
dog,dog,0.99049777,dog,0.008837455,cat,0.00054039154,horse
truck,ship,0.8875567,ship,0.09675674,truck,0.010847361,cat
bird,ship,0.8535406,ship,0.10868173,frog,0.033374745,cat
deer,deer,0.991931,deer,0.0075163916,cat,0.00031039212,dog
car,car,0.61405027,car,0.35994643,truck,0.015179062,cat
truck,truck,0.7495435,truck,0.23469365,ship,0.00900082,cat
dog,dog,0.9996537,dog,0.00034098377,cat,2.1910014e-06,deer
deer,deer,0.91926605,deer,0.078720786,cat,0.00096528657,bird
frog,cat,0.9549352,cat,0.025493383,frog,0.012716304,dog
dog,horse,0.64348376,horse,0.2813518,cat,0.038643107,dog
frog,frog,0.98265946,frog,0.0148156,cat,0.0015818384,ship
plane,plane,0.97417563,plane,0.01269012,cat,0.0062710447,bird
truck,truck,0.6106077,truck,0.12938948,cat,0.05260303,plane
cat,cat,0.8122128,cat,0.14540811,frog,0.033849075,dog
truck,cat,0.7739686,cat,0.121061735,ship,0.05339402,deer
horse,deer,0.99963963,deer,0.00023973703,horse,4.3959797e-05,bird
frog,deer,0.60524416,deer,0.1701974,frog,0.16482821,cat
truck,frog,0.8038623,frog,0.10640432,truck,0.06548296,ship
ship,ship,0.9937442,ship,0.002674042,cat,0.002548775,deer
plane,plane,0.8462917,plane,0.10956216,bird,0.020147962,frog
cat,cat,0.9830868,cat,0.013066174,dog,0.0035544313,deer
ship,ship,0.9622997,ship,0.022762641,cat,0.0060184323,plane
ship,ship,0.93135923,ship,0.05672949,cat,0.006189616,bird
horse,horse,0.48974928,horse,0.22782616,dog,0.15668909,cat
horse,cat,0.9916031,cat,0.008141852,dog,8.155747e-05,horse
deer,dog,0.8686396,dog,0.11055067,cat,0.02023749,horse
frog,cat,0.93713623,cat,0.046476565,dog,0.01288287,frog
horse,horse,0.5663585,horse,0.3668703,dog,0.055234056,deer
cat,cat,0.9426287,cat,0.05667926,dog,0.0003093178,bird
frog,frog,0.70268524,frog,0.26321185,cat,0.0261883,bird
cat,cat,0.9967013,cat,0.0013473541,plane,0.001139667,dog
frog,frog,0.6280048,frog,0.36949563,cat,0.000891763,deer
bird,cat,0.91825587,cat,0.07417178,bird,0.0032008856,frog
car,ship,0.81854814,ship,0.10244017,deer,0.078132704,cat
bird,bird,0.9912742,bird,0.0041713784,deer,0.0029346726,cat
cat,deer,0.47734472,deer,0.4655459,cat,0.03159305,dog
horse,deer,0.99864453,deer,0.00079459086,horse,0.00035028564,cat
bird,cat,0.5002342,cat,0.16718572,ship,0.12247667,dog
frog,frog,0.95208764,frog,0.03306296,dog,0.011614635,cat
ship,ship,0.99941325,ship,0.00016940496,cat,0.00016259078,bird
ship,ship,0.79140157,ship,0.18790072,cat,0.009478545,deer
plane,ship,0.5999392,ship,0.37341452,cat,0.011094712,plane
bird,bird,0.78632087,bird,0.1480523,deer,0.02249768,dog
truck,ship,0.58604443,ship,0.19641621,truck,0.11934384,horse
cat,cat,0.99904245,cat,0.00044971853,dog,0.00020400569,frog
cat,dog,0.55200005,dog,0.31019962,deer,0.1164549,cat
ship,ship,0.9956332,ship,0.0021491724,deer,0.0007387897,cat
ship,ship,0.99219817,ship,0.005050269,cat,0.0006894389,frog
car,cat,0.9975848,cat,0.0022770008,dog,9.708812e-05,deer
car,ship,0.61602646,ship,0.3429662,cat,0.022868535,frog
horse,horse,0.91882515,horse,0.041127235,deer,0.023846213,dog
bird,plane,0.4407474,plane,0.3803908,bird,0.09341213,dog
dog,dog,0.75643444,dog,0.10605464,cat,0.07859878,deer
bird,cat,0.83269024,cat,0.15441321,dog,0.008498061,deer
horse,cat,0.8310488,cat,0.093604065,dog,0.026989302,ship
ship,ship,0.98932624,ship,0.0059938063,bird,0.0018315553,deer
truck,truck,0.6665721,truck,0.32815304,ship,0.0030090606,plane
plane,plane,0.5460488,plane,0.35385603,deer,0.064351216,ship
cat,cat,0.9929831,cat,0.0037161016,dog,0.0030419286,frog
ship,ship,0.9951343,ship,0.0029028659,deer,0.0010103587,cat
frog,frog,0.9976051,frog,0.0012659186,cat,0.0011008397,bird
deer,dog,0.5875413,dog,0.30897388,deer,0.06271338,cat
frog,frog,0.93049026,frog,0.0626576,cat,0.0055932878,dog
frog,cat,0.94414264,cat,0.02288132,frog,0.0152037,bird
plane,cat,0.47769055,cat,0.22001155,dog,0.14700553,ship
plane,plane,0.999542,plane,0.00041121405,bird,3.5400237e-05,cat
horse,dog,0.6079896,dog,0.34095776,cat,0.0348072,horse
deer,deer,0.97815496,deer,0.017385796,cat,0.0013375193,bird
dog,deer,0.8606121,deer,0.089061916,cat,0.04215036,dog
frog,cat,0.93623704,cat,0.050311647,frog,0.012603445,dog
cat,cat,0.9996296,cat,0.00015642018,frog,8.2934734e-05,bird
car,car,0.9997514,car,0.0001869722,ship,2.4211547e-05,cat
car,car,0.9417815,car,0.028025841,plane,0.020457087,cat
cat,cat,0.9752203,cat,0.0108069,frog,0.009147395,bird
frog,cat,0.661643,cat,0.3156271,frog,0.012406203,bird
ship,ship,0.74900365,ship,0.14456598,plane,0.04669074,bird
horse,horse,0.9854746,horse,0.011622973,cat,0.0028293428,dog
deer,deer,0.9996259,deer,0.00021080762,horse,0.00011284418,dog
plane,plane,0.96401566,plane,0.018012697,cat,0.0128423665,bird
frog,frog,0.69717705,frog,0.25312042,bird,0.03598204,cat
bird,bird,0.70691174,bird,0.13198231,cat,0.10276842,frog
car,cat,0.45985714,cat,0.14634182,ship,0.13962114,dog
cat,cat,0.99843544,cat,0.0015422625,dog,9.9316885e-06,horse
plane,deer,0.7020811,deer,0.13317324,cat,0.06517645,ship
deer,deer,0.99799275,deer,0.0017324106,cat,6.3239415e-05,dog
bird,bird,0.38023618,bird,0.35284635,cat,0.25748295,frog
horse,cat,0.40002388,cat,0.2746202,deer,0.13903213,horse
ship,ship,0.972232,ship,0.011313147,cat,0.010228586,deer
cat,cat,0.95620763,cat,0.020637369,dog,0.009444642,plane
car,car,0.838583,car,0.08598272,cat,0.042240664,frog
bird,bird,0.8032365,bird,0.09494114,deer,0.048408672,plane
ship,cat,0.4812654,cat,0.48051348,ship,0.019536406,dog
plane,bird,0.7645384,bird,0.15575126,plane,0.022686038,dog
ship,cat,0.64240646,cat,0.32553136,ship,0.013391179,dog
cat,cat,0.9674587,cat,0.01525487,ship,0.0076179868,dog
dog,frog,0.6030932,frog,0.3863083,cat,0.010037688,dog
bird,bird,0.98396564,bird,0.012378883,cat,0.0033294952,plane
deer,deer,0.9988104,deer,0.0009106556,bird,0.00018095881,frog
car,car,0.9850562,car,0.011060307,cat,0.002476562,bird
ship,ship,0.96528715,ship,0.019401584,cat,0.012722532,deer
truck,truck,0.9807551,truck,0.015264699,car,0.002992683,cat
car,frog,0.9275987,frog,0.06762233,cat,0.0025858216,dog
bird,cat,0.7321635,cat,0.23764372,dog,0.024134802,bird
truck,cat,0.89669734,cat,0.058286138,ship,0.027992964,truck
horse,horse,0.8574142,horse,0.0859501,dog,0.040456813,deer
bird,cat,0.74457896,cat,0.10869493,deer,0.10716521,bird
truck,cat,0.7094499,cat,0.17816731,ship,0.039552335,dog
frog,cat,0.9711873,cat,0.027150406,frog,0.00079166156,dog
dog,dog,0.8360863,dog,0.14919262,cat,0.007689455,deer
frog,frog,0.80311567,frog,0.18899228,cat,0.0025392948,dog
cat,deer,0.998558,deer,0.000836105,cat,0.0002907196,bird
ship,ship,0.73580295,ship,0.22837935,cat,0.016185857,bird
horse,horse,0.8074796,horse,0.13545476,dog,0.033992585,deer
frog,frog,0.9990897,frog,0.00082637096,cat,3.6387795e-05,dog
bird,cat,0.8962119,cat,0.10312861,dog,0.0005949097,bird
dog,cat,0.8588933,cat,0.13728899,dog,0.0024761236,deer
bird,bird,0.5756501,bird,0.36895874,cat,0.032095216,dog
ship,ship,0.94635487,ship,0.039398264,cat,0.009809196,plane
truck,frog,0.77304626,frog,0.123792835,cat,0.07352571,ship
frog,cat,0.5032589,cat,0.3535382,frog,0.08540067,deer
plane,plane,0.8723616,plane,0.05724021,ship,0.045248285,deer
plane,cat,0.6499592,cat,0.11385915,dog,0.084815584,bird
dog,cat,0.69943494,cat,0.29787195,dog,0.0015602246,bird
bird,cat,0.8917288,cat,0.041839574,dog,0.021647906,bird
truck,cat,0.45670438,cat,0.4162459,truck,0.08513115,ship
dog,cat,0.8734179,cat,0.07111935,dog,0.020399015,bird
deer,deer,0.9965412,deer,0.002068625,bird,0.0008414011,cat
bird,plane,0.6030057,plane,0.21703456,bird,0.15694253,cat
car,plane,0.7895424,plane,0.15780354,bird,0.042550806,cat
frog,bird,0.85084635,bird,0.122550674,cat,0.015400755,frog
frog,deer,0.4033295,deer,0.31434664,frog,0.20358032,cat
ship,ship,0.43910125,ship,0.26382345,bird,0.2055808,cat
deer,deer,0.9913681,deer,0.008503194,bird,0.0001095736,cat
ship,ship,0.817964,ship,0.09973001,cat,0.044078592,bird
deer,deer,0.9908421,deer,0.0064254403,cat,0.002093367,frog
dog,dog,0.52094275,dog,0.26954886,cat,0.16977149,deer
plane,ship,0.9635642,ship,0.023026928,cat,0.004543618,deer
truck,truck,0.9949504,truck,0.0035377007,car,0.00056808436,cat
truck,plane,0.83491224,plane,0.08792786,truck,0.025115993,ship
truck,ship,0.48908272,ship,0.25085,cat,0.07995771,deer
ship,ship,0.8218337,ship,0.08122954,frog,0.05740071,cat
truck,truck,0.77240926,truck,0.11170654,ship,0.09268557,car
truck,ship,0.6147945,ship,0.262718,frog,0.051475443,cat
cat,cat,0.98500687,cat,0.0104669,dog,0.0027382534,ship
horse,dog,0.5353138,dog,0.33294058,horse,0.06673273,cat
dog,cat,0.84248626,cat,0.13749199,dog,0.010593116,frog
plane,plane,0.78368944,plane,0.17748441,ship,0.012694086,truck
plane,plane,0.9824968,plane,0.013583006,cat,0.0022069074,ship
dog,dog,0.9927147,dog,0.0034930974,cat,0.0029428678,deer
bird,bird,0.9556789,bird,0.035241157,horse,0.004220022,plane
bird,cat,0.9719393,cat,0.009100876,deer,0.008313242,frog
cat,cat,0.99483854,cat,0.0049481792,dog,0.00012989031,frog
ship,ship,0.98854023,ship,0.00463894,deer,0.0026375994,plane
frog,frog,0.9782824,frog,0.009745451,cat,0.0067925327,bird
cat,cat,0.9958651,cat,0.003452489,dog,0.0003642328,frog
deer,cat,0.9777574,cat,0.0099063665,bird,0.005860245,dog
plane,plane,0.8115458,plane,0.07003089,bird,0.056446947,deer
dog,dog,0.51834404,dog,0.4250382,cat,0.027723465,frog
ship,cat,0.91019356,cat,0.077610716,ship,0.007276744,deer
plane,plane,0.9756629,plane,0.01212974,bird,0.010374631,ship
car,frog,0.37145492,frog,0.17342584,car,0.15186796,truck
horse,horse,0.5847214,horse,0.31004247,cat,0.07638848,dog
bird,bird,0.7981199,bird,0.16041638,deer,0.022953892,cat
ship,ship,0.8499132,ship,0.12952648,cat,0.013450483,frog
ship,dog,0.31485096,dog,0.26120377,ship,0.23566495,cat
horse,horse,0.99969673,horse,9.2223454e-05,cat,8.4850915e-05,bird
ship,cat,0.9757665,cat,0.00886175,ship,0.008847859,frog
dog,cat,0.8893114,cat,0.11060309,dog,7.1468596e-05,deer
car,car,0.37219414,car,0.234392,ship,0.12025944,cat
ship,ship,0.9951857,ship,0.0034206505,cat,0.0008207694,frog
horse,deer,0.815915,deer,0.16000865,horse,0.015088502,dog
car,frog,0.46700412,frog,0.4315844,cat,0.05507303,deer
cat,cat,0.9605468,cat,0.01973567,deer,0.013637834,dog
plane,cat,0.540757,cat,0.39610156,plane,0.027684273,ship
dog,dog,0.99657947,dog,0.0024290676,cat,0.00076220767,deer
horse,horse,0.9999423,horse,4.242129e-05,dog,1.1499415e-05,deer
truck,ship,0.41993225,ship,0.34187585,truck,0.196762,cat
horse,cat,0.9623676,cat,0.035576276,dog,0.0010818079,frog
deer,deer,0.9965042,deer,0.0027259565,ship,0.000568611,cat
dog,cat,0.71952313,cat,0.27889058,dog,0.0007333461,frog
truck,ship,0.96085507,ship,0.021483958,deer,0.016076446,cat
ship,bird,0.52119845,bird,0.24327728,cat,0.06566661,ship
plane,cat,0.55674106,cat,0.18344718,deer,0.12200575,plane
horse,horse,0.9997147,horse,0.00016459322,dog,6.121416e-05,plane
truck,truck,0.9306681,truck,0.034991205,cat,0.01826909,frog
ship,cat,0.97241825,cat,0.013639095,frog,0.0038963836,dog
bird,bird,0.97334284,bird,0.023474244,deer,0.0023681412,cat
horse,deer,0.99501616,deer,0.004437278,horse,0.00038264753,dog
frog,cat,0.96413845,cat,0.016112054,dog,0.010098034,frog
truck,truck,0.97099113,truck,0.025118748,ship,0.0011134251,cat
deer,deer,0.99239266,deer,0.0061207586,cat,0.000891408,dog
cat,cat,0.9535659,cat,0.044397045,dog,0.0011038694,deer
truck,frog,0.75966084,frog,0.08824697,car,0.071241684,cat
frog,cat,0.67052895,cat,0.2835579,dog,0.03309321,frog
deer,deer,0.9594596,deer,0.032245737,cat,0.0077716373,bird
horse,cat,0.33298212,cat,0.32885975,deer,0.17033675,frog
frog,frog,0.6327154,frog,0.23950635,bird,0.113196306,cat
dog,dog,0.99098176,dog,0.008527148,cat,0.00023444738,horse
car,car,0.9623036,car,0.02674236,ship,0.008844057,truck
dog,cat,0.9418978,cat,0.056132447,dog,0.000916806,bird
ship,ship,0.48329115,ship,0.45411026,cat,0.04028639,bird
ship,ship,0.96223986,ship,0.030310657,cat,0.0027477264,frog
plane,plane,0.97107846,plane,0.014414225,ship,0.010090403,cat
deer,deer,0.99635625,deer,0.0015296296,cat,0.00091558654,dog
plane,cat,0.7800206,cat,0.13460238,ship,0.038187023,dog
dog,dog,0.91798073,dog,0.073565535,cat,0.0043177265,horse
dog,dog,0.5070414,dog,0.4909186,cat,0.00077238225,deer
car,cat,0.86132795,cat,0.073299944,bird,0.038448934,frog
car,car,0.98403776,car,0.008978326,cat,0.0064471285,truck
ship,ship,0.6537069,ship,0.24623771,cat,0.042103328,deer
truck,dog,0.6679229,dog,0.21993874,cat,0.047415867,deer
plane,deer,0.4363392,deer,0.24109991,cat,0.11319049,ship
cat,cat,0.98700607,cat,0.007041054,bird,0.004600726,frog
car,cat,0.84722793,cat,0.11219589,dog,0.014326493,car
truck,ship,0.9213274,ship,0.06007361,cat,0.009035026,dog
bird,cat,0.7815481,cat,0.20385821,deer,0.008414112,bird
bird,bird,0.97075486,bird,0.028384253,plane,0.00057839544,frog
dog,cat,0.9490991,cat,0.040580273,dog,0.008322498,frog
cat,cat,0.9860553,cat,0.012784169,dog,0.00074470195,deer
truck,truck,0.7188291,truck,0.11932337,cat,0.06817605,deer
truck,ship,0.82909036,ship,0.1082747,frog,0.03895417,cat
deer,deer,0.9875135,deer,0.0044788434,cat,0.0028085343,dog
plane,ship,0.5173814,ship,0.3988777,cat,0.030500958,plane
