Actual	Predicted	Top1_Prob	Top1_Class	Top2_Prob	Top2_Class	Top3_Prob	Top3_Class
cat	cat	0.4091	cat	0.3068	deer	0.1291	dog
ship	ship	0.6674	ship	0.2450	plane	0.0376	bird
ship	deer	0.6647	deer	0.1497	ship	0.1005	bird
plane	plane	0.9312	plane	0.0543	ship	0.0105	bird
frog	frog	0.8575	frog	0.0706	cat	0.0321	deer
frog	deer	0.6034	deer	0.1971	cat	0.1171	frog
car	cat	0.7925	cat	0.0733	dog	0.0691	car
frog	deer	0.3591	deer	0.2293	cat	0.1507	plane
cat	cat	0.9229	cat	0.0288	frog	0.0268	deer
car	frog	0.4523	frog	0.4120	ship	0.0684	cat
plane	cat	0.4424	cat	0.2333	horse	0.1570	deer
truck	truck	0.9998	truck	0.0002	ship	0.0000	car
dog	horse	0.7457	horse	0.1789	dog	0.0385	deer
horse	horse	1.0000	horse	0.0000	dog	0.0000	bird
truck	ship	0.9636	ship	0.0161	truck	0.0144	deer
ship	frog	0.4402	frog	0.3305	deer	0.1065	ship
dog	dog	0.9442	dog	0.0298	bird	0.0236	cat
horse	cat	0.3519	cat	0.3111	frog	0.1411	dog
ship	ship	0.9444	ship	0.0280	plane	0.0118	deer
frog	frog	0.8582	frog	0.1214	bird	0.0187	cat
horse	cat	0.9629	cat	0.0165	dog	0.0070	frog
plane	plane	0.9995	plane	0.0003	bird	0.0001	frog
deer	deer	0.3852	deer	0.3179	cat	0.1918	plane
truck	truck	0.9064	truck	0.0472	ship	0.0325	cat
dog	deer	0.6832	deer	0.1901	cat	0.0959	dog
bird	deer	0.6656	deer	0.2060	cat	0.0720	ship
deer	deer	0.8793	deer	0.0941	cat	0.0099	dog
plane	deer	0.4105	deer	0.3510	cat	0.1582	plane
truck	deer	0.7933	deer	0.1051	ship	0.0642	cat
frog	frog	0.7207	frog	0.2588	deer	0.0111	bird
frog	cat	0.7192	cat	0.1261	frog	0.0636	deer
dog	cat	0.7675	cat	0.0584	dog	0.0523	plane
deer	deer	0.4572	deer	0.2528	ship	0.1585	frog
dog	dog	0.8626	dog	0.1271	cat	0.0062	horse
truck	ship	0.4962	ship	0.3563	cat	0.0750	deer
bird	ship	0.6030	ship	0.2403	frog	0.1127	cat
deer	deer	0.9828	deer	0.0153	horse	0.0011	cat
car	car	0.6438	car	0.2307	truck	0.0514	deer
truck	ship	0.8216	ship	0.1672	truck	0.0064	cat
dog	dog	0.5364	dog	0.4446	cat	0.0075	bird
deer	deer	0.8956	deer	0.0808	cat	0.0134	plane
frog	frog	0.9115	frog	0.0549	cat	0.0187	dog
dog	horse	0.7814	horse	0.0854	cat	0.0791	dog
frog	frog	0.9777	frog	0.0052	cat	0.0051	ship
plane	plane	0.9112	plane	0.0463	ship	0.0225	deer
truck	truck	0.8400	truck	0.1032	deer	0.0255	ship
cat	cat	0.5716	cat	0.1904	frog	0.1822	bird
truck	deer	0.6774	deer	0.2747	cat	0.0283	ship
horse	deer	0.9704	deer	0.0144	ship	0.0066	horse
frog	deer	0.3114	deer	0.3048	cat	0.1548	plane
truck	frog	0.3465	frog	0.2734	ship	0.1840	plane
ship	ship	0.6386	ship	0.3433	deer	0.0070	frog
plane	bird	0.8342	bird	0.1132	plane	0.0238	frog
cat	cat	0.7244	cat	0.1352	dog	0.0473	deer
ship	ship	0.9415	ship	0.0307	plane	0.0128	deer
ship	ship	0.6504	ship	0.1311	cat	0.0840	deer
horse	deer	0.8235	deer	0.0765	horse	0.0693	cat
horse	cat	0.8528	cat	0.0575	bird	0.0344	dog
deer	dog	0.8891	dog	0.0721	cat	0.0142	deer
frog	deer	0.5665	deer	0.3498	cat	0.0417	dog
horse	horse	0.5280	horse	0.4594	deer	0.0070	dog
cat	cat	0.6194	cat	0.2495	dog	0.1151	bird
frog	frog	0.4802	frog	0.4209	cat	0.0345	deer
cat	ship	0.6358	ship	0.2698	cat	0.0472	bird
frog	frog	0.9753	frog	0.0148	cat	0.0071	deer
bird	bird	0.9588	bird	0.0371	cat	0.0028	frog
car	deer	0.8501	deer	0.1230	ship	0.0150	cat
bird	bird	0.9739	bird	0.0092	deer	0.0083	horse
cat	deer	0.7957	deer	0.0865	cat	0.0588	horse
horse	deer	0.9995	deer	0.0002	horse	0.0001	plane
bird	ship	0.4793	ship	0.1868	cat	0.1399	deer
frog	frog	0.7956	frog	0.1300	bird	0.0348	cat
ship	ship	0.9977	ship	0.0012	deer	0.0004	plane
ship	deer	0.5744	deer	0.2021	plane	0.1161	ship
plane	deer	0.7412	deer	0.1405	plane	0.0899	ship
bird	bird	0.4708	bird	0.2141	cat	0.2030	deer
truck	plane	0.9119	plane	0.0520	ship	0.0164	bird
cat	cat	0.8918	cat	0.0576	deer	0.0203	bird
