Actual,Predicted,Top1_Prob,Top1_Class,Top2_Prob,Top2_Class,Top3_Prob,Top3_Class,Num_Layers_Used,Top_Prob_Layer1,Top_Prob_Layer2,Top_Prob_Layer3
cat,cat,99.12007,cat,0.8620254,dog,0.010542193,frog,1,99.12007451057434,,
ship,ship,98.91894,ship,1.0347615,cat,0.018070199,plane,1,98.91893863677979,,
ship,ship,37.129963,ship,29.191463,bird,17.09856,cat,1,37.12996244430542,,
plane,plane,74.64985,plane,12.266536,bird,8.667006,cat,1,74.64985251426697,,
frog,cat,83.04412,cat,8.142499,frog,7.386565,deer,1,83.04411768913269,,
frog,frog,49.23533,frog,38.238213,cat,11.28933,dog,1,49.235329031944275,,
car,cat,77.82143,cat,12.360964,car,9.12922,dog,1,77.82142758369446,,
frog,frog,53.551888,frog,15.712692,deer,13.255699,cat,1,53.55188846588135,,
cat,cat,98.22922,cat,1.6483386,dog,0.041036278,deer,1,98.22921752929688,,
car,cat,51.25991,cat,28.628128,frog,13.378994,ship,1,51.25991106033325,,
plane,cat,68.30699,cat,30.020561,dog,1.0513347,deer,1,68.30699443817139,,
truck,truck,99.67171,truck,0.29643983,ship,0.013740193,car,1,99.67170357704163,,
dog,dog,91.694626,dog,7.923636,cat,0.26510194,deer,1,91.6946291923523,,
horse,horse,99.99922,horse,0.00051101076,dog,0.00014450774,cat,1,99.99922513961792,,
truck,deer,89.090195,deer,4.540843,horse,3.155109,truck,1,89.09019231796265,,
ship,frog,44.58519,frog,31.688707,cat,18.439402,ship,1,44.58518922328949,,
dog,dog,99.853874,dog,0.13899775,cat,0.0068517905,horse,1,99.85387325286865,,
horse,cat,98.32244,cat,0.7675828,horse,0.4817131,dog,1,98.32243919372559,,
ship,ship,99.75045,ship,0.07186088,plane,0.06171447,cat,1,99.75045323371887,,
frog,frog,91.27766,frog,4.9575877,cat,3.5784137,bird,1,91.2776529788971,,
horse,cat,86.56939,cat,10.915485,dog,1.0552189,truck,1,86.56938672065735,,
plane,plane,99.933975,plane,0.049151234,bird,0.008363463,cat,1,99.9339759349823,,
deer,cat,74.21911,cat,19.576702,deer,2.6048923,ship,1,74.21910762786865,,
truck,truck,95.73878,truck,3.9589102,car,0.16854106,ship,1,95.73878049850464,,
dog,cat,95.15426,cat,4.440518,dog,0.39474568,deer,1,95.15425562858582,,
bird,cat,51.058422,cat,20.328157,deer,19.477352,ship,1,51.05842351913452,,
deer,deer,56.29818,deer,32.355156,cat,10.835717,dog,1,56.29817843437195,,
plane,cat,87.52544,cat,6.878297,dog,4.34142,plane,1,87.52543330192566,,
truck,cat,35.524647,cat,32.262917,truck,22.542862,deer,1,35.52464544773102,,
frog,frog,65.06918,frog,19.243933,deer,10.98444,cat,1,65.06918668746948,,
frog,cat,44.479393,cat,35.592697,deer,9.740503,frog,1,44.47939395904541,,
dog,cat,54.79909,cat,38.498627,dog,4.631234,frog,1,54.799091815948486,,
