Actual,Predicted,Top1_Prob,Top1_Class,Top2_Prob,Top2_Class,Top3_Prob,Top3_Class,Num_Layers_Used,Top_Prob_Layer1,Top_Prob_Layer2,Top_Prob_Layer3
cat,cat,97.28931,cat,2.380696,dog,0.14552543,bird,1.0,99.12007451057434,,
ship,ship,99.99994,ship,5.4485536e-05,car,1.5308517e-06,plane,1.0,98.91893863677979,,
ship,ship,99.68856,ship,0.27015445,car,0.02076919,bird,2.0,37.12996244430542,97.63128757476807,
plane,ship,96.79278,ship,2.9452047,plane,0.1797476,cat,3.0,74.64985251426697,63.09904456138611,96.79277539253235
frog,frog,97.34171,frog,2.4831402,cat,0.07648213,deer,3.0,83.04411768913269,67.42614507675171,97.34171032905579
frog,frog,99.96176,frog,0.031992547,dog,0.0060139108,cat,2.0,49.235329031944275,99.75937008857727,
car,car,99.695816,car,0.24400319,truck,0.023947733,plane,2.0,77.82142758369446,99.80666041374207,
frog,frog,97.948235,frog,1.3721396,dog,0.5501573,cat,2.0,53.55188846588135,94.43933367729187,
cat,cat,99.94593,cat,0.0399724,dog,0.012281511,deer,1.0,98.22921752929688,,
car,car,97.6852,car,1.4145257,truck,0.78760844,ship,2.0,51.25991106033325,97.53026366233826,
plane,plane,92.70465,plane,3.4861135,dog,2.476478,cat,3.0,68.30699443817139,39.54671919345856,92.70464777946472
truck,truck,99.99835,truck,0.0016491287,car,1.8836397e-06,ship,1.0,99.67170357704163,,
dog,dog,61.908867,dog,36.88167,deer,0.5569861,cat,1.0,91.6946291923523,,
horse,horse,99.99832,horse,0.0015036332,dog,6.830057e-05,car,1.0,99.99922513961792,,
truck,truck,99.22172,truck,0.6558283,ship,0.100887366,car,1.0,89.09019231796265,,
ship,ship,84.86342,ship,13.290383,cat,0.9045836,frog,4.0,44.58518922328949,71.79317474365234,84.86341834068298
dog,dog,99.9904,dog,0.006257084,horse,0.0033081935,cat,1.0,99.85387325286865,,
horse,cat,98.04652,cat,0.8851942,bird,0.35626408,horse,1.0,98.32243919372559,,
ship,ship,96.89248,ship,1.5121133,car,1.084927,truck,1.0,99.75045323371887,,
frog,frog,99.85762,frog,0.11487421,bird,0.01171118,truck,1.0,91.2776529788971,,
horse,truck,61.9846,truck,22.419964,car,6.740766,horse,1.0,86.56938672065735,,
plane,plane,99.964,plane,0.033269476,bird,0.0014173487,cat,1.0,99.9339759349823,,
deer,cat,88.49682,cat,9.65191,deer,1.3268081,frog,3.0,74.21910762786865,69.45223808288574,88.49681615829468
truck,truck,99.986244,truck,0.011391919,car,0.0015171404,ship,1.0,95.73878049850464,,
dog,cat,92.4546,cat,4.8248935,dog,2.6639838,deer,1.0,95.15425562858582,,
bird,cat,83.8987,cat,5.493432,frog,5.1648846,deer,4.0,51.05842351913452,45.59674263000488,83.89869928359985
deer,deer,73.789406,deer,23.753422,cat,2.0987234,dog,2.0,56.29817843437195,88.94752264022827,
plane,plane,99.997505,plane,0.00097637146,cat,0.00052043604,truck,1.0,87.52543330192566,,
truck,truck,99.81116,truck,0.18815425,car,0.00040755444,cat,2.0,35.52464544773102,99.68376159667969,
frog,bird,59.614162,bird,39.47767,frog,0.34730557,cat,4.0,65.06918668746948,73.26613068580627,59.614163637161255
frog,frog,94.23824,frog,5.1619525,cat,0.18869859,car,2.0,44.47939395904541,94.6842610836029,
dog,dog,99.983475,dog,0.015743895,cat,0.00031483988,horse,2.0,54.799091815948486,99.72957968711853,
deer,bird,29.187521,bird,28.796446,cat,23.487133,frog,4.0,55.014026165008545,51.04750990867615,29.18752133846283
dog,dog,99.64933,dog,0.24118184,cat,0.060959473,bird,1.0,99.04977679252625,,
truck,truck,99.99909,truck,0.0008147016,plane,4.3337506e-05,ship,1.0,88.75566720962524,,
bird,ship,67.91647,ship,27.9491,cat,2.3251214,frog,1.0,85.35405993461609,,
deer,deer,99.99895,deer,0.00062599673,horse,0.00032503548,cat,1.0,99.19310212135315,,
car,truck,70.206535,truck,26.938683,car,2.5507553,ship,4.0,61.40502691268921,76.40634775161743,70.20653486251831
truck,truck,99.93208,truck,0.057396073,car,0.008167054,ship,2.0,74.95434880256653,99.82726573944092,
dog,dog,99.999985,dog,1.0769912e-05,cat,2.3675544e-07,deer,1.0,99.9653697013855,,
deer,deer,79.98961,deer,14.66386,cat,3.4136899,bird,1.0,91.92660450935364,,
frog,frog,96.827065,frog,2.7818432,cat,0.21817091,car,1.0,95.49351930618286,,
dog,horse,66.58505,horse,12.825036,dog,12.17581,deer,4.0,64.34837579727173,60.875535011291504,66.58505201339722
frog,frog,99.91026,frog,0.044847354,cat,0.026946045,car,1.0,98.26594591140747,,
plane,plane,99.99312,plane,0.003909667,bird,0.0016684347,ship,1.0,97.41756319999695,,
truck,truck,99.910614,truck,0.08144203,car,0.0069969227,plane,2.0,61.060768365859985,99.71603155136108,
cat,cat,90.42869,cat,6.0777946,bird,3.3817005,frog,2.0,81.22128248214722,87.16342449188232,
truck,ship,53.147453,ship,8.182718,cat,7.984157,deer,4.0,77.39685773849487,49.09797012805939,53.14745306968689
horse,deer,96.28891,deer,3.695255,horse,0.010075959,bird,1.0,99.9639630317688,,
frog,frog,99.82402,frog,0.11898091,bird,0.029168691,deer,2.0,60.52441596984863,92.25355982780457,
truck,truck,99.999115,truck,0.00064508856,car,0.00013396297,ship,2.0,80.38622736930847,99.96472597122192,
ship,ship,99.93887,ship,0.05003719,frog,0.005309935,truck,1.0,99.37441945075989,,
plane,bird,68.60157,bird,20.943369,plane,8.816262,horse,4.0,84.6291720867157,75.13483762741089,68.60157251358032
cat,cat,89.85323,cat,4.60471,dog,2.8648353,bird,1.0,98.30868244171143,,
ship,ship,99.64048,ship,0.34606773,plane,0.0033492392,car,1.0,96.22997045516968,,
ship,ship,99.91554,ship,0.030989323,truck,0.025261048,bird,1.0,93.13592314720154,,
horse,horse,98.78957,horse,0.6072494,dog,0.53274405,deer,2.0,48.97492825984955,88.76197934150696,
horse,cat,96.662926,cat,1.676457,horse,0.9786967,dog,1.0,99.16030764579773,,
deer,horse,83.8192,horse,9.575916,dog,4.5936832,cat,1.0,86.8639588356018,,
frog,cat,61.794453,cat,37.905495,dog,0.27573165,deer,1.0,93.71362328529358,,
horse,horse,99.97935,horse,0.017169813,deer,0.0031821716,dog,2.0,56.63585066795349,99.96232986450195,
cat,cat,74.099045,cat,13.386136,bird,11.667526,dog,1.0,94.26286816596985,,
frog,frog,99.84275,frog,0.13330233,cat,0.014648302,bird,2.0,70.26852369308472,99.40521121025085,
cat,cat,99.69707,cat,0.19388595,bird,0.07377555,dog,1.0,99.67013001441956,,
frog,frog,93.42844,frog,6.3917413,cat,0.0921651,bird,3.0,62.8004789352417,57.70135521888733,93.42843294143677
bird,cat,92.282974,cat,6.768599,bird,0.5304518,frog,1.0,91.8255865573883,,
car,ship,77.40945,ship,21.222298,car,0.73986644,deer,2.0,81.85481429100037,93.65948438644409,
bird,bird,99.520775,bird,0.47173598,plane,0.0037591045,cat,1.0,99.12741780281067,,
cat,cat,99.047485,cat,0.4641837,dog,0.3219568,frog,2.0,47.734472155570984,99.84188079833984,
horse,horse,66.5181,horse,32.792118,deer,0.42402452,cat,1.0,99.86445307731628,,
bird,bird,42.876072,bird,25.48348,deer,15.235085,ship,4.0,50.02341866493225,37.50164806842804,42.876073718070984
frog,frog,99.99879,frog,0.000911583,cat,0.00023296886,dog,1.0,95.20876407623291,,
ship,ship,99.171326,ship,0.5839928,plane,0.14797786,cat,1.0,99.9413251876831,,
ship,ship,99.95854,ship,0.019447856,plane,0.006109719,frog,2.0,79.14015650749207,99.94508624076843,
plane,plane,47.73131,plane,31.423435,truck,10.056315,ship,4.0,59.9939227104187,41.70105755329132,47.73131012916565
bird,bird,99.98598,bird,0.01058241,dog,0.0014014917,cat,2.0,78.63208651542664,99.97499585151672,
truck,truck,99.95073,truck,0.016553244,plane,0.0123584615,ship,2.0,58.604443073272705,99.10346865653992,
cat,cat,99.986885,cat,0.012316506,dog,0.00023226325,car,1.0,99.90424513816833,,
cat,cat,64.1654,cat,35.44523,dog,0.2721306,deer,4.0,55.20000457763672,62.99179196357727,64.16539549827576
ship,ship,99.97534,ship,0.011168658,plane,0.010736124,deer,1.0,99.56331849098206,,
ship,ship,99.999115,ship,0.0002857683,plane,0.0002775502,car,1.0,99.21981692314148,,
car,car,91.48258,car,3.427558,truck,2.3367188,ship,1.0,99.75848197937012,,
car,car,99.895355,car,0.04432825,cat,0.023625448,ship,2.0,61.60264611244202,98.30362200737,
horse,horse,99.99733,horse,0.0018249077,dog,0.00074010296,deer,1.0,91.88251495361328,,
bird,bird,98.05223,bird,0.9298111,plane,0.4349635,dog,2.0,44.07474100589752,97.3394513130188,
dog,dog,93.75683,dog,3.4159937,cat,1.9453222,horse,2.0,75.6434440612793,88.66473436355591,
bird,cat,86.61729,cat,8.159806,horse,3.644761,dog,2.0,83.26902389526367,90.25934934616089,
horse,horse,85.74344,horse,10.20432,plane,1.6781745,ship,3.0,83.10487866401672,38.17009627819061,85.74343919754028
ship,ship,99.99635,ship,0.0015778518,truck,0.0010710075,horse,1.0,98.93262386322021,,
truck,truck,99.22801,truck,0.3098395,car,0.21649764,ship,2.0,66.6572093963623,99.78121519088745,
plane,plane,99.99839,plane,0.001157084,deer,0.00031895767,ship,2.0,54.60488200187683,99.96552467346191,
cat,cat,90.20974,cat,7.4914985,bird,1.9580864,frog,1.0,99.29831027984619,,
ship,ship,99.951744,ship,0.020287368,horse,0.015631586,plane,1.0,99.51342940330505,,
frog,frog,99.99975,frog,9.080357e-05,bird,7.653431e-05,cat,1.0,99.76050853729248,,
deer,deer,97.95553,deer,1.703472,dog,0.16409573,cat,2.0,58.754128217697144,87.93148398399353,
